"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"98132099999","2000-01-01","20.8","121.85","124.0","ITBAYAT, RP","  74.7"," 5","  71.4"," 5","1016.2"," 5","999.9"," 0","  9.9"," 5","  7.4"," 5","  9.7","999.9","  75.9","*","  73.2","*"," 0.08","G","999.9","010000"
"98132099999","2000-01-02","20.8","121.85","124.0","ITBAYAT, RP","  72.7"," 5","  64.4"," 5","1015.4"," 4","999.9"," 0"," 11.6"," 5","  8.5"," 5","  9.7","999.9","  74.5","*","  71.1","*"," 0.08","G","999.9","000000"
"98132099999","2000-01-03","20.8","121.85","124.0","ITBAYAT, RP","  73.8"," 7","  64.0"," 7","1017.9"," 7","999.9"," 0"," 11.8"," 7","  8.0"," 7"," 11.7","999.9","  83.8","*","  70.5","*"," 0.00","G","999.9","000000"
"98132099999","2000-01-04","20.8","121.85","124.0","ITBAYAT, RP","  74.0"," 5","  66.6"," 5","1017.0"," 5","999.9"," 0"," 12.2"," 5","  6.2"," 5","  9.7","999.9","  77.4","*","  71.4","*"," 0.00","C","999.9","000000"
"98132099999","2000-01-05","20.8","121.85","124.0","ITBAYAT, RP","  75.4"," 7","  69.5"," 7","1015.2"," 7","999.9"," 0"," 13.3"," 7","  6.4"," 7","  9.7","999.9","  78.1","*","  73.8","*"," 0.00","D","999.9","000000"
"98132099999","2000-01-06","20.8","121.85","124.0","ITBAYAT, RP","  77.2"," 5","  73.3"," 5","1012.7"," 5","999.9"," 0","  9.9"," 5","  5.8"," 5","  9.7","999.9","  83.8","*","  73.4","*"," 0.00","H","999.9","010010"
"98132099999","2000-01-07","20.8","121.85","124.0","ITBAYAT, RP","  74.2"," 6","  69.6"," 6","1016.5"," 6","999.9"," 0"," 11.1"," 6"," 10.4"," 6"," 11.7","999.9","  76.6","*","  73.4","*"," 1.50","G","999.9","000000"
"98132099999","2000-01-08","20.8","121.85","124.0","ITBAYAT, RP","  75.6"," 6","  72.3"," 6","1015.4"," 6","999.9"," 0"," 11.2"," 6","  6.2"," 6","  9.7","999.9","  77.0","*","  73.9","*"," 0.00","G","999.9","000000"
"98132099999","2000-01-09","20.8","121.85","124.0","ITBAYAT, RP","  76.8"," 4","  74.3"," 4","1015.7"," 4","999.9"," 0"," 11.8"," 4","  3.4"," 4","  7.8","999.9","  78.8","*","  74.8","*"," 0.00","D","999.9","000000"
"98132099999","2000-01-10","20.8","121.85","124.0","ITBAYAT, RP","  75.9"," 5","  73.1"," 5","1016.5"," 5","999.9"," 0"," 10.8"," 5","  4.7"," 5","  7.8","999.9","  77.4","*","  74.7","*"," 0.00","D","999.9","000000"
"98132099999","2000-01-11","20.8","121.85","124.0","ITBAYAT, RP","  75.3"," 5","  73.0"," 5","1014.7"," 5","999.9"," 0"," 10.8"," 5","  6.6"," 5"," 11.7","999.9","  77.0","*","  73.9","*"," 0.04","G","999.9","000000"
"98132099999","2000-01-12","20.8","121.85","124.0","ITBAYAT, RP","  75.6"," 7","  72.7"," 7","1014.0"," 7","999.9"," 0"," 12.4"," 7","  2.8"," 7","  5.8","999.9","  78.4","*","  73.6","*"," 0.20","G","999.9","100000"
"98132099999","2000-01-13","20.8","121.85","124.0","ITBAYAT, RP","  77.4"," 6","  72.7"," 6","1013.5"," 6","999.9"," 0"," 12.4"," 6","  4.2"," 6","  7.8","999.9","  84.6","*","  73.8","*"," 0.00","G","999.9","000000"
"98132099999","2000-01-16","20.8","121.85","124.0","ITBAYAT, RP","  75.0"," 7","  70.5"," 7","1015.3"," 7","999.9"," 0"," 13.8"," 7","  3.6"," 7","  5.8","999.9","  77.7","*","  72.0","*"," 0.00","I","999.9","000000"
"98132099999","2000-01-17","20.8","121.85","124.0","ITBAYAT, RP","  72.7"," 8","  68.4"," 8","1016.4"," 8","999.9"," 0"," 13.4"," 8","  6.1"," 8"," 17.5","999.9","  74.1","*","  71.1","*"," 0.00","I","999.9","000000"
"98132099999","2000-01-18","20.8","121.85","124.0","ITBAYAT, RP","  71.9"," 5","  67.4"," 5","1017.4"," 5","999.9"," 0","  9.7"," 5"," 11.3"," 5"," 13.6","999.9","  75.6","*","  69.1","*"," 0.24","G","999.9","000000"
"98132099999","2000-01-19","20.8","121.85","124.0","ITBAYAT, RP","  66.8"," 7","  63.8"," 7","1020.4"," 7","999.9"," 0","  7.1"," 7"," 10.5"," 7"," 11.7","999.9","  67.8","*","  65.3","*"," 0.28","G","999.9","010000"
"98132099999","2000-01-20","20.8","121.85","124.0","ITBAYAT, RP","  67.1"," 7","  61.9"," 7","1024.7"," 6","999.9"," 0","  8.2"," 7"," 15.5"," 7"," 17.5","999.9","  70.5","*","  65.5","*"," 0.47","G","999.9","010000"
"98132099999","2000-01-21","20.8","121.85","124.0","ITBAYAT, RP","  68.6"," 7","  62.9"," 7","1026.3"," 7","999.9"," 0"," 11.5"," 7"," 15.8"," 7"," 17.5","999.9","  69.8","*","  66.9","*"," 0.20","G","999.9","000000"
"98132099999","2000-01-22","20.8","121.85","124.0","ITBAYAT, RP","  70.4"," 7","  65.4"," 7","1023.4"," 6","999.9"," 0","  8.8"," 7"," 14.4"," 7"," 15.5","999.9","  71.6","*","  68.4","*"," 0.04","G","999.9","000000"
"98132099999","2000-01-23","20.8","121.85","124.0","ITBAYAT, RP","  74.1"," 8","  66.9"," 8","1020.8"," 8","999.9"," 0"," 12.3"," 8"," 10.2"," 8"," 15.5","999.9","  76.3","*","  72.1","*"," 0.00","G","999.9","000000"
"98132099999","2000-01-24","20.8","121.85","124.0","ITBAYAT, RP","  75.4"," 7","  69.7"," 7","1017.3"," 6","999.9"," 0"," 11.0"," 7","  5.5"," 7","  7.8","999.9","  78.1","*","  73.2","*"," 0.00","G","999.9","010000"
"98132099999","2000-01-25","20.8","121.85","124.0","ITBAYAT, RP","  69.0"," 8","  66.6"," 7","1021.8"," 8","999.9"," 0"," 10.4"," 8"," 12.6"," 8"," 15.5","999.9","  73.6","*","  66.6","*"," 0.12","G","999.9","010000"
"98132099999","2000-01-26","20.8","121.85","124.0","ITBAYAT, RP","  68.3"," 6","  62.9"," 6","1023.5"," 6","999.9"," 0","  7.4"," 6"," 13.9"," 6"," 15.5","999.9","  81.0","*","  64.2","*"," 0.28","G","999.9","010000"
"98132099999","2000-01-27","20.8","121.85","124.0","ITBAYAT, RP","  64.8"," 7","  59.4"," 7","1024.2"," 7","999.9"," 0","  8.8"," 7"," 12.2"," 7"," 15.5","999.9","  65.8","*","  64.0","*"," 0.20","G","999.9","000000"
"98132099999","2000-01-28","20.8","121.85","124.0","ITBAYAT, RP","  65.4"," 6","  56.6"," 5","1025.5"," 5","999.9"," 0"," 10.3"," 6"," 14.6"," 6"," 15.5","999.9","  66.2","*","  64.4","*"," 0.12","G","999.9","010000"
"98132099999","2000-01-29","20.8","121.85","124.0","ITBAYAT, RP","  69.3"," 6","  58.6"," 6","1024.9"," 4","999.9"," 0"," 12.2"," 6"," 11.0"," 6"," 13.6","999.9","  73.4","*","  65.1","*"," 0.00","G","999.9","000000"
"98132099999","2000-01-30","20.8","121.85","124.0","ITBAYAT, RP","  71.1"," 8","  61.2"," 8","1025.2"," 8","999.9"," 0"," 10.9"," 8"," 11.4"," 8"," 13.6","999.9","  73.8","*","  69.3","*","99.99"," ","999.9","010000"
"98132099999","2000-01-31","20.8","121.85","124.0","ITBAYAT, RP","  68.6"," 6","  64.8"," 6","1024.2"," 6","999.9"," 0","  6.1"," 6"," 11.7"," 6"," 13.6","999.9","  69.1","*","  67.6","*"," 0.16","G","999.9","010000"
"98132099999","2000-02-01","20.8","121.85","124.0","ITBAYAT, RP","  70.2"," 8","  62.2"," 8","1022.1"," 7","999.9"," 0","  7.5"," 8"," 11.4"," 8"," 13.6","999.9","  71.8","*","  69.4","*"," 1.42","G","999.9","000000"
"98132099999","2000-02-03","20.8","121.85","124.0","ITBAYAT, RP","  72.6"," 5","  68.6"," 5","1018.9"," 5","999.9"," 0","  9.3"," 5"," 10.5"," 5"," 11.7","999.9","  74.1","*","  70.5","*"," 0.02","G","999.9","000000"
"98132099999","2000-02-04","20.8","121.85","124.0","ITBAYAT, RP","  74.0"," 5","  69.1"," 5","1018.2"," 4","999.9"," 0","  9.8"," 5"," 10.1"," 5"," 11.7","999.9","  76.3","*","  72.3","*"," 0.12","G","999.9","010000"
"98132099999","2000-02-05","20.8","121.85","124.0","ITBAYAT, RP","  73.8"," 6","  71.5"," 6","1015.2"," 6","999.9"," 0","  6.2"," 6"," 10.4"," 6"," 11.7","999.9","  74.5","*","  72.7","*"," 0.63","G","999.9","010000"
"98132099999","2000-02-06","20.8","121.85","124.0","ITBAYAT, RP","  72.2"," 6","  70.8"," 6","1013.8"," 6","999.9"," 0","  5.5"," 6","  9.4"," 6"," 13.6","999.9","  74.8","*","  70.0","*"," 0.24","G","999.9","010000"
"98132099999","2000-02-07","20.8","121.85","124.0","ITBAYAT, RP","  71.2"," 9","  67.5"," 9","1014.4"," 9","999.9"," 0"," 10.6"," 9","  9.3"," 9"," 11.7","999.9","  73.8","*","  69.1","*"," 1.65","G","999.9","000000"
"98132099999","2000-02-08","20.8","121.85","124.0","ITBAYAT, RP","  66.9"," 8","  60.4"," 8","1018.8"," 8","999.9"," 0","  8.3"," 8"," 10.2"," 8"," 11.7","999.9","  69.3","*","  65.7","*"," 0.00","G","999.9","010000"
"98132099999","2000-02-09","20.8","121.85","124.0","ITBAYAT, RP","  69.1"," 7","  60.5"," 7","1018.0"," 7","999.9"," 0","  9.6"," 7"," 10.0"," 7"," 11.7","999.9","  71.1","*","  66.2","*"," 0.00","G","999.9","000000"
"98132099999","2000-02-10","20.8","121.85","124.0","ITBAYAT, RP","  72.1"," 7","  63.1"," 7","1016.9"," 7","999.9"," 0"," 12.4"," 7"," 10.3"," 7"," 11.7","999.9","  74.5","*","  69.1","*"," 0.00","I","999.9","000000"
"98132099999","2000-02-11","20.8","121.85","124.0","ITBAYAT, RP","  74.2"," 7","  68.9"," 7","1015.5"," 7","999.9"," 0"," 12.4"," 7"," 10.0"," 7"," 11.7","999.9","  75.9","*","  72.3","*"," 0.20","G","999.9","000000"
"98132099999","2000-02-12","20.8","121.85","124.0","ITBAYAT, RP","  74.2"," 5","  71.8"," 5","1014.3"," 5","999.9"," 0","  8.8"," 5","  5.4"," 5","  7.8","999.9","  75.2","*","  72.9","*"," 0.02","G","999.9","010000"
"98132099999","2000-02-13","20.8","121.85","124.0","ITBAYAT, RP","  74.9"," 5","  71.1"," 5","1014.3"," 5","999.9"," 0"," 12.4"," 5","  3.9"," 5","  9.7","999.9","  77.7","*","  71.2","*"," 0.79","G","999.9","100000"
"98132099999","2000-02-14","20.8","121.85","124.0","ITBAYAT, RP","  75.3"," 7","  70.5"," 7","1014.9"," 7","999.9"," 0"," 11.8"," 7","  6.9"," 7"," 11.7","999.9","  79.9","*","  71.4","*"," 0.00","G","999.9","000000"
"98132099999","2000-02-15","20.8","121.85","124.0","ITBAYAT, RP","  70.4"," 8","  65.5"," 8","1019.3"," 8","999.9"," 0","  7.8"," 8"," 10.2"," 8"," 13.6","999.9","  71.1","*","  69.8","*"," 0.04","G","999.9","000000"
"98132099999","2000-02-16","20.8","121.85","124.0","ITBAYAT, RP","  72.7"," 8","  65.7"," 8","1018.8"," 8","999.9"," 0","  9.0"," 8"," 10.7"," 8"," 11.7","999.9","  90.0","*","  68.4","*"," 0.03","G","999.9","000000"
